general_info_BoundingBox,general_info_EnabledImageTypes,general_info_GeneralSettings,general_info_ImageHash,general_info_ImageSpacing,general_info_MaskHash,general_info_Version,general_info_VolumeNum,general_info_VoxelNum,original_shape_Maximum3DDiameter,original_shape_Compactness2,original_shape_Maximum2DDiameterSlice,original_shape_Sphericity,original_shape_MinorAxis,original_shape_Compactness1,original_shape_Elongation,original_shape_SurfaceVolumeRatio,original_shape_Volume,original_shape_SphericalDisproportion,original_shape_MajorAxis,original_shape_LeastAxis,original_shape_Flatness,original_shape_SurfaceArea,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_firstorder_InterquartileRange,original_firstorder_Skewness,original_firstorder_Uniformity,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Energy,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_Median,original_firstorder_TotalEnergy,original_firstorder_Maximum,original_firstorder_RootMeanSquared,original_firstorder_90Percentile,original_firstorder_Minimum,original_firstorder_Entropy,original_firstorder_StandardDeviation,original_firstorder_Range,original_firstorder_Variance,original_firstorder_10Percentile,original_firstorder_Kurtosis,original_firstorder_Mean,original_glcm_JointAverage,original_glcm_Homogeneity1,original_glcm_Homogeneity2,original_glcm_JointEntropy,original_glcm_ClusterShade,original_glcm_MaximumProbability,original_glcm_Idmn,original_glcm_JointEnergy,original_glcm_Contrast,original_glcm_DifferenceEntropy,original_glcm_InverseVariance,original_glcm_Dissimilarity,original_glcm_DifferenceVariance,original_glcm_Idn,original_glcm_Idm,original_glcm_Correlation,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_glcm_ClusterProminence,original_glcm_Imc2,original_glcm_Imc1,original_glcm_DifferenceAverage,original_glcm_Autocorrelation,original_glcm_Id,original_glcm_ClusterTendency,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glrlm_GrayLevelVariance,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_RunVariance,original_glrlm_GrayLevelNonUniformity,original_glrlm_LongRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_RunLengthNonUniformity,original_glrlm_ShortRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_RunPercentage,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_RunEntropy,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_RunLengthNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SizeZoneNonUniformity,original_glszm_GrayLevelNonUniformity,original_glszm_LargeAreaEmphasis,original_glszm_ZoneVariance,original_glszm_ZonePercentage,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_SmallAreaEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_ZoneEntropy,original_glszm_SmallAreaLowGrayLevelEmphasis,patient,contour
"(70, 250, 177, 373, 206, 1)",{'Original': {}},"{'distances': [1], 'additionalInfo': True, 'enableCExtensions': True, 'weightingNorm': None, 'force2D': False, 'interpolator': None, 'resampledPixelSpacing': None, 'label': 1, 'normalizeScale': 1, 'normalize': False, 'force2Ddimension': 0, 'removeOutliers': None, 'minimumROISize': None, 'binWidth': 25, 'minimumROIDimensions': 1, 'resegmentRange': None, 'padDistance': 5}",d3c96169364381099cca549e1a90575095f19c40,"(1.0, 1.0, 1.0)",89aa91120021901dcf2cea3e2d2658f8555903f8,0+unknown,1,62317,373.3738073298661,0.00022415642587158251,373.3738073298661,0.060745913084843783,207.65125851108198,0.00079428154801025987,0.53175840652831763,2.0080054203453441,62317.0,16.462012820571164,390.4992492112562,0.0,0.0,125132.87377966082,371.0,203.0,7.4539413452148437,5.513002967131615,0.93299727733071847,5.0612756614073557,260880596.98150477,3.0056023218522836,63.515106201171875,260880596.98150477,161.73175048828125,64.701987421068424,67.085487365722656,37.269710540771484,0.27812744331983646,10.874825520773571,124.46203994750977,118.26183010726818,56.374355316162109,40.092782332851996,63.781543930268938,2.0677234039433872,0.99106166574690913,0.9908905429705831,0.36196018191701274,3.5667166549859988,0.9621844999198268,0.99943298516777213,0.92598313271751609,0.021390098404619074,0.13300693822684981,0.016482856331077191,0.018747444783131437,0.021029235064329799,0.99736874317270907,0.9908905429705831,0.93588279702770105,4.1354468078867743,0.33923249495658736,0.16676517018318351,22.175712231319707,0.56929776755810035,-0.7026987835777142,0.018747444783131437,4.4315502078187405,0.99106166574690913,0.64567058232811503,0.032157192998612937,1.5186385224601326,0.15174940164930401,0.27205821263631857,5269.2761337252132,405.43994711805789,7152.08526635825,5.266071271890695,174.57921332849838,0.34035639403594414,28702.143390189594,0.023801691352279539,1786.7058166620127,6.1640157103821975,11.49063401986994,0.11654917897311837,1.895328753573053,3.7564714929664942,0.26816608996539792,0.11591695501730104,7.882352941176471,18.235294117647058,51619648.955882356,50779811.479887538,0.0010911950190156778,12903393.853786763,206563654.91176471,15.411764705882353,0.31049052721439502,0.17616830065359479,4.8591424377895853,0.10729527382566754,interobs05_20170910_CT,Patient
"(164, 288, 84, 35, 33, 1)",{'Original': {}},"{'distances': [1], 'additionalInfo': True, 'enableCExtensions': True, 'weightingNorm': None, 'force2D': False, 'interpolator': None, 'resampledPixelSpacing': None, 'label': 1, 'normalizeScale': 1, 'normalize': False, 'force2Ddimension': 0, 'removeOutliers': None, 'minimumROISize': None, 'binWidth': 25, 'minimumROIDimensions': 1, 'resegmentRange': None, 'padDistance': 5}",d3c96169364381099cca549e1a90575095f19c40,"(1.0, 1.0, 1.0)",00ab5b901b271cea04cc834089582f6e719ebe97,0+unknown,1,833,38.01315561749642,0.015518285391758688,38.01315561749642,0.24942955478173698,29.346523436061553,0.0066087716205908871,0.80630593159873254,2.0605724034052186,833.0,4.0091479972172852,36.396263857161095,0.0,0.0,1716.4568120365473,32.0,32.0,1.6285934448242187,-3.5220327072089321,0.95085092860673681,2.1219359697726521,3509089.6447471925,0.7290902908534812,65.644805908203125,3509089.6447471925,70.217391967773438,64.904488371305476,67.260870361328131,40.840087890625,0.16977000753515503,4.008650828147915,29.377304077148438,16.069281462010963,62.963890838623044,16.718154815769914,64.780578333933676,1.9806218461085492,0.9919387978589238,0.9919387978589238,0.22158343218509274,-0.099386320361387448,0.9725606439674731,0.99677551914356954,0.94616999059652274,0.016122404282152246,0.11809149005336551,0.016122404282152246,0.016122404282152246,0.015840869858806682,0.99462586523928254,0.9919387978589238,0.55005914346721974,3.9612436922170984,0.20546102790294082,0.018994569772335303,0.18048263076744953,0.30215679269444495,-0.37119043833432175,0.016122404282152246,3.9338043361845716,0.9919387978589238,0.059855874807188972,0.1273719362236799,0.17163196463055308,0.41742052420945364,0.65673607073889384,104.94653844873147,34.619341129226655,380.59255315506323,0.21777493966989411,4.8093048068283917,0.1454525369129227,1519.4676402630773,0.063625450180072027,95.873781378059746,4.0336694345527153,3.3303179031621855,0.088219998812095204,0.22222221891085306,0.0071827421330808846,0.55555555555555558,0.33333333333333331,1.0,1.6666666666666667,219859.0,142760.22222222219,0.0036014405762304922,55023.0,879203.0,2.0,0.0071812254740986235,0.75,1.5849625007211552,0.0071808463093530582,interobs05_20170910_CT,"treshold0,34"
"(172, 293, 84, 17, 24, 1)",{'Original': {}},"{'distances': [1], 'additionalInfo': True, 'enableCExtensions': True, 'weightingNorm': None, 'force2D': False, 'interpolator': None, 'resampledPixelSpacing': None, 'label': 1, 'normalizeScale': 1, 'normalize': False, 'force2Ddimension': 0, 'removeOutliers': None, 'minimumROISize': None, 'binWidth': 25, 'minimumROIDimensions': 1, 'resegmentRange': None, 'padDistance': 5}",d3c96169364381099cca549e1a90575095f19c40,"(1.0, 1.0, 1.0)",431984eaa54981cac64dbe0bd9f462fa1d80b5ac,0+unknown,1,346,24.041630560342615,0.035943045663526088,24.041630560342615,0.3300185042073403,17.892061861119192,0.010057876861140364,0.72553407191264663,2.0873108631395985,346.0,3.0301331205711155,24.660539806149,0.0,0.0,722.209558646301,16.0,23.0,1.3467254638671875,-1.8695860781381965,1.0,0.90166622361847248,1482876.5926443681,0.58094127017633213,65.519523620605469,1482876.5926443681,68.025054931640625,65.465796405238692,66.960205078125,57.126014709472656,-0.0,1.3260962348725165,10.899040222167969,1.7585312241430644,64.141487121582031,10.342300236379318,65.45236411122228,1.0,1.0,1.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,0.0,-3.2034265038149176e-16,0.0,0.0,0.0,1.0,1.0,1.0,2.0,-3.2034265038149176e-16,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0087260607877868105,0.0,1.0,1.0,11.866475957928213,25.5,231.78514389626818,0.0087260607877868105,4.0269765970904494,0.0087260607877868105,231.78514389626818,0.07369942196531791,231.78514389626818,3.0913344083045438,1.0,0.1632603605193072,0.0,8.3531023422098964e-06,1.0,1.0,1.0,1.0,119716.0,0.0,0.0028901734104046241,119716.0,119716.0,1.0,8.3531023422098964e-06,1.0,-3.2034265038149176e-16,8.3531023422098964e-06,interobs05_20170910_CT,"suv2,5"
"(161, 282, 85, 26, 27, 1)",{'Original': {}},"{'distances': [1], 'additionalInfo': True, 'enableCExtensions': True, 'weightingNorm': None, 'force2D': False, 'interpolator': None, 'resampledPixelSpacing': None, 'label': 1, 'normalizeScale': 1, 'normalize': False, 'force2Ddimension': 0, 'removeOutliers': None, 'minimumROISize': None, 'binWidth': 25, 'minimumROIDimensions': 1, 'resegmentRange': None, 'padDistance': 5}",d3c96169364381099cca549e1a90575095f19c40,"(1.0, 1.0, 1.0)",3c9e189b9e1fb898ecc7efd1bb23b168d16b7c8b,0+unknown,1,565,30.23243291566195,0.022566692264179389,30.23243291566195,0.28258946607115154,24.217932059873139,0.0079695322097121917,0.81406020238849219,2.0700396924605138,565.0,3.5387023228538035,29.749559048356069,0.0,0.0,1169.5724262401902,25.0,26.0,4.6352272033691406,-2.3200172313118643,0.91542015819563005,3.740013602608772,2288736.6769821518,2.0684499593236603,65.081062316894531,2288736.6769821518,70.280036926269531,63.646377549626884,67.749446105957034,34.137805938720703,0.26144010659136985,5.4544558256975284,36.142230987548828,29.751088354485706,57.251290893554696,9.3674243715004728,63.412225058226461,1.9643035893417853,0.98681495307362821,0.98681495307362821,0.35440620622912516,-0.18184149600302557,0.95111854241541371,0.99472598122945133,0.90554188380072498,0.026370093852743463,0.17480616230621432,0.026370093852743463,0.026370093852743463,0.0256403542762456,0.99120996871575218,0.98681495307362821,0.60641451403588387,3.9286071786835706,0.32803611237638203,0.034408880961514711,0.32991500535298041,0.39626264638461856,-0.39386935697374637,0.026370093852743463,3.8797257210989846,0.98681495307362821,0.11126542999331537,0.14818731367607818,0.19583757214229575,0.45652648254423717,0.60832485571540862,72.284608933560961,28.479359955364259,234.19027977044476,0.27460972406195017,4.317682926829268,0.17347179575325256,932.47427068388333,0.083185840707964601,59.619282042085125,3.842229139752094,3.1738940698230511,0.091561465190213825,0.22222221891085306,0.0042917738762942937,0.55555555555555558,0.33333333333333331,1.0,1.6666666666666667,97304.333333333328,61834.888888888883,0.0053097345132743362,24404.333333333332,388904.33333333331,2.0,0.0042883445210130863,0.75,1.5849625007211552,0.0042874871821927847,interobs05_20170910_CT,GTV-1auto(DR)
"(155, 281, 85, 41, 33, 1)",{'Original': {}},"{'distances': [1], 'additionalInfo': True, 'enableCExtensions': True, 'weightingNorm': None, 'force2D': False, 'interpolator': None, 'resampledPixelSpacing': None, 'label': 1, 'normalizeScale': 1, 'normalize': False, 'force2Ddimension': 0, 'removeOutliers': None, 'minimumROISize': None, 'binWidth': 25, 'minimumROIDimensions': 1, 'resegmentRange': None, 'padDistance': 5}",d3c96169364381099cca549e1a90575095f19c40,"(1.0, 1.0, 1.0)",392ae35b265f7a499578a145e5b782ecc90f0433,0+unknown,1,1052,43.04648650006177,0.012421594169664209,43.04648650006177,0.23159318675104654,30.367675672230607,0.0059127231552793084,0.68467100393324942,2.053145680960943,1052.0,4.3179163170933874,44.353675703770918,0.0,0.0,2159.909256370912,40.0,30.0,15.40899658203125,-1.1217389138999379,0.61730146452890744,9.2897061158954148,3450605.5864699809,6.6701778324808769,59.756816864013672,3450605.5864699809,70.280036926269531,57.271662566633857,67.148117065429687,13.529845237731934,0.8917510484646366,11.474859982609482,56.750191688537598,131.67241162049248,38.021369934082031,3.5740078230886745,56.110345940172898,2.766970018654388,0.95070064092445772,0.95070064092445772,1.2638621549229898,-0.90374669645006755,0.73258579524850831,0.99014012818489161,0.56798749456990816,0.098598718151084508,0.46168406737749701,0.098598718151084508,0.098598718151084508,0.088511495106966737,0.97535032046222891,0.95070064092445772,0.75003820956748923,5.5339400373087759,1.1652634367719061,0.19829780551386822,2.1005950255782815,0.72791425291294221,-0.4646501127562549,0.098598718151084508,7.8051704724938844,0.95070064092445772,0.69459250390438854,0.10527439076244841,0.34362085451770025,0.25422680034809614,0.46212370704162609,78.439034368026441,67.06921673755329,136.67426146308122,1.1918182630273906,19.817819324568333,0.28810909978209931,1184.628315854126,0.13783269961977185,16.589509089033896,4.1417732957012365,5.5488146696037273,0.13271594679431542,0.39506171726518208,0.25976956624443259,0.43209876543209874,0.13580246913580246,1.2222222222222223,3.8888888888888888,71902.444444444438,58239.432098765428,0.008555133079847909,8405.558641975309,632529.0,3.5555555555555554,0.16968753825770297,0.48456790123456783,3.1699250014423095,0.14716723008215438,interobs05_20170910_CT,GTV-1auto(LB)
"(154, 283, 85, 46, 36, 1)",{'Original': {}},"{'distances': [1], 'additionalInfo': True, 'enableCExtensions': True, 'weightingNorm': None, 'force2D': False, 'interpolator': None, 'resampledPixelSpacing': None, 'label': 1, 'normalizeScale': 1, 'normalize': False, 'force2Ddimension': 0, 'removeOutliers': None, 'minimumROISize': None, 'binWidth': 25, 'minimumROIDimensions': 1, 'resegmentRange': None, 'padDistance': 5}",d3c96169364381099cca549e1a90575095f19c40,"(1.0, 1.0, 1.0)",b6735c5c3a6b5cff13dbe79fa705ebf15f9588ed,0+unknown,1,1152,49.24428900898052,0.011338309748750086,49.24428900898052,0.22465500873748154,29.647625553726488,0.0056490190009879301,0.59151694081321626,2.0534487067683194,1152.0,4.4512695515662433,50.121346504407796,0.0,0.0,2365.5729101971037,42.0,33.0,18.9793701171875,-0.96723522992342537,0.55486382378472221,10.642019864663276,3578869.3977836557,7.846298419469246,58.316139221191406,3578869.3977836557,70.280036926269531,55.737397350018661,67.0792236328125,11.274870872497559,1.0392167112472619,12.909134633142164,59.005166053771973,166.64575697659049,33.805820846557623,3.0446047781196364,54.221874795854092,2.6943981069628862,0.94504386600059553,0.94504386600059553,1.4685611362278956,-1.2157935479942312,0.67187007635926399,0.98900877320011915,0.49772868393439657,0.10991226799880893,0.49755182734543102,0.10991226799880893,0.10991226799880893,0.097549957411672883,0.97252193300029777,0.94504386600059553,0.78774235666912462,5.3887962139257723,1.3586488682290874,0.25956075835374171,3.392446690180603,0.78420501135494614,-0.49336539547523123,0.10991226799880893,7.4644278279408347,0.94504386600059553,0.92833076541615789,0.11441377224177959,0.39187520709741708,0.29259760052647343,0.43628285490978264,69.255606783529487,74.593528238836086,118.89846668558188,1.1606542531320414,22.918151116785673,0.28447083133024209,1011.7562489163161,0.14800347222222218,15.266809554240249,4.2678684770237645,5.24289911098501,0.1322867685293817,0.4375,0.29031879634985636,0.40625,0.15625,1.25,3.25,89716.0,68980.0,0.0069444444444444441,11558.90625,753469.375,3.5,0.18985304002050071,0.51388888888888884,2.9999999999999973,0.16473682069036924,interobs05_20170910_CT,GTV-1auto(RW)
"(158, 281, 85, 37, 31, 1)",{'Original': {}},"{'distances': [1], 'additionalInfo': True, 'enableCExtensions': True, 'weightingNorm': None, 'force2D': False, 'interpolator': None, 'resampledPixelSpacing': None, 'label': 1, 'normalizeScale': 1, 'normalize': False, 'force2Ddimension': 0, 'removeOutliers': None, 'minimumROISize': None, 'binWidth': 25, 'minimumROIDimensions': 1, 'resegmentRange': None, 'padDistance': 5}",d3c96169364381099cca549e1a90575095f19c40,"(1.0, 1.0, 1.0)",ba630c7651c1043c74190a1a015a52a569df2128,0+unknown,1,869,42.43819034784589,0.014910595813515809,42.43819034784589,0.24613025365405999,27.051007543964605,0.0064780810272408191,0.65944527791263985,2.0589503136639422,869.0,4.0628894057270832,41.020852601431763,0.0,0.0,1789.2278225739658,33.0,29.0,10.397933959960937,-1.5001135127985128,0.78350576896847168,6.5522143275163653,3146561.9259924623,4.4528662733673423,62.262340545654297,3146561.9259924623,70.280036926269531,60.173912950390523,67.336036682128906,23.802505493164063,0.55479471868453334,8.4634425219914569,46.477531433105469,71.629859323053111,47.542373657226563,5.3344957691246364,59.575749600304007,2.8952766343287313,0.9641063651311419,0.9641063651311419,0.80271317084933447,-0.45960268685755346,0.86180253141542118,0.99282127302622836,0.74965305906049406,0.071787269737716139,0.3715319494877668,0.071787269737716139,0.071787269737716139,0.066538849690738255,0.98205318256557095,0.9641063651311419,0.62456970041200999,5.7905532686574626,0.73092590111161893,0.09615840132711459,0.85668604335777032,0.54073698474590526,-0.35801654492309143,0.071787269737716139,8.4429090687303461,0.9641063651311419,0.31284633557074221,0.090788821134185071,0.28923957913946535,0.19770500593582269,0.48053534130712638,96.038082248080514,48.831380465269916,175.91738962994648,1.5873193007524926,14.046388298347349,0.33605585074059557,1566.8492462673453,0.11680092059838901,20.01566138121985,4.0292427437684903,6.3696105882657958,0.13621842383854482,0.22485207637342122,1.492588308293636,0.62130177514792895,0.25443786982248523,3.3076923076923075,8.0769230769230766,44986.230769230766,40517.822485207107,0.014959723820483314,5043.2115384615381,403269.07692307694,3.9230769230769229,0.48853152685940265,0.35470085470085466,2.9312089489103199,0.2375174786996192,interobs05_20170910_CT,GTV-1vis(DR)
"(152, 280, 85, 46, 33, 1)",{'Original': {}},"{'distances': [1], 'additionalInfo': True, 'enableCExtensions': True, 'weightingNorm': None, 'force2D': False, 'interpolator': None, 'resampledPixelSpacing': None, 'label': 1, 'normalizeScale': 1, 'normalize': False, 'force2Ddimension': 0, 'removeOutliers': None, 'minimumROISize': None, 'binWidth': 25, 'minimumROIDimensions': 1, 'resegmentRange': None, 'padDistance': 5}",d3c96169364381099cca549e1a90575095f19c40,"(1.0, 1.0, 1.0)",20a65a816141f5c45aa6066e90d2dc92b5749678,0+unknown,1,1094,48.46648326421054,0.011914913433135759,48.46648326421054,0.22840045449929486,28.896346221532795,0.0057908767615805854,0.59662662808489597,2.0548559709915821,1094.0,4.3782750003375641,48.432880567678986,0.0,0.0,2248.0124322647907,43.0,31.0,17.898857116699219,-1.001186992296315,0.58577616315017267,10.247787114105797,3480280.8591547543,7.496024468012596,59.287031173706055,3480280.8591547543,70.280036926269531,56.402517051613444,67.085487365722656,14.093588829040527,0.96071360472650369,12.464776404496934,56.186448097229004,155.37065081410353,34.845612716674808,3.0235228400479142,55.00793832660375,2.7273900240911466,0.95272225410919098,0.95272225410919098,1.3428928163307292,-1.0039785150802329,0.70091964770889092,0.99054445082183817,0.53381814736364586,0.094555491781617929,0.44995342549496953,0.094555491781617929,0.094555491781617929,0.08542690143116427,0.97636112705459555,0.95272225410919098,0.7910639987906618,5.4547800481822932,1.2483373245491121,0.22648584419614878,2.4889075432249408,0.7758598370967652,-0.51302741747772229,0.094555491781617929,7.6178825356774214,0.95272225410919098,0.81138788500297709,0.11504926289432718,0.39315501855569301,0.2729367773689409,0.43080580514512629,75.264140858117372,63.511229058791635,134.52852819421702,1.2387675240363114,17.14491175194334,0.28738838067257649,1149.952727787907,0.1343692870201097,16.840983328099462,4.4392192937953681,5.5389511489883709,0.11477476060606218,0.35416666666666669,1.2725382729361565,0.45833333333333331,0.2361111111111111,2.8333333333333335,5.5,54867.0,46555.638888888898,0.010968921389396709,6560.7523148148148,477487.91666666669,3.4166666666666665,0.44438440005212065,0.48842592592592587,2.8553885422075309,0.23734608132615032,interobs05_20170910_CT,GTV-1vis(LB)
"(161, 287, 86, 24, 21, 1)",{'Original': {}},"{'distances': [1], 'additionalInfo': True, 'enableCExtensions': True, 'weightingNorm': None, 'force2D': False, 'interpolator': None, 'resampledPixelSpacing': None, 'label': 1, 'normalizeScale': 1, 'normalize': False, 'force2Ddimension': 0, 'removeOutliers': None, 'minimumROISize': None, 'binWidth': 25, 'minimumROIDimensions': 1, 'resegmentRange': None, 'padDistance': 5}",d3c96169364381099cca549e1a90575095f19c40,"(1.0, 1.0, 1.0)",0a0bc201926b0b02d35e086c983096f8f15fa581,0+unknown,1,345,27.459060435491963,0.035490258802737547,27.459060435491963,0.32862685867737362,16.459971899906201,0.0099943248197084684,0.60827106313006063,2.0981733700989724,345.0,3.0429649117077822,27.060257996173533,0.0,0.0,723.8698126841455,20.0,18.0,5.3868827819824219,-0.51408612289888111,0.68000000000000016,3.5816983502393414,163451.50623721685,2.4005614391232322,22.048635482788086,163451.50623721685,30.692705154418945,21.766315302480695,26.546057128906256,9.4583644866943359,0.72192809488736231,4.5512317380912179,21.234340667724609,20.713710333808809,14.331613922119141,2.8441272032532292,21.285177272299062,1.2054981133788245,0.92540074642715231,0.92540074642715231,1.2819743695281027,0.50564147273598925,0.71990263304832758,0.97016029857086095,0.54685861175712136,0.14919850714569544,0.6060316482041852,0.14919850714569544,0.14919850714569544,0.12662308757132332,0.9502671642847681,0.92540074642715231,0.54316213094693611,2.410996226757649,1.1327758623824076,0.16325915033577765,0.87301971566893022,0.55090374051000557,-0.25052161303450782,0.14919850714569544,1.5418950865636261,0.92540074642715231,0.5038380941974151,0.15679954709967286,0.23164431994774842,0.72470999831984539,0.53671136010450315,16.481549057730298,40.452618707587767,38.509862949920127,0.8102331201032329,10.537784809535811,0.28748626170038488,49.314037675374173,0.21811594202898554,35.808819268556618,3.9157397923338975,2.1011600067206184,0.13747413165834371,0.22222221891085306,0.40774639770513937,0.55555555555555558,0.22222222222222221,1.3333333333333333,3.3333333333333335,10736.833333333334,7430.583333333333,0.017391304347826087,10254.208333333334,12667.333333333334,3.0,0.10206076930879289,0.5,2.2516291673878213,0.025639362209706282,interobs05_20170910_CT,GTV-1vis(RW)
"(164, 285, 86, 33, 27, 1)",{'Original': {}},"{'distances': [1], 'additionalInfo': True, 'enableCExtensions': True, 'weightingNorm': None, 'force2D': False, 'interpolator': None, 'resampledPixelSpacing': None, 'label': 1, 'normalizeScale': 1, 'normalize': False, 'force2Ddimension': 0, 'removeOutliers': None, 'minimumROISize': None, 'binWidth': 25, 'minimumROIDimensions': 1, 'resegmentRange': None, 'padDistance': 5}",d3c96169364381099cca549e1a90575095f19c40,"(1.0, 1.0, 1.0)",2ffa0db9a045ff2665665c583983181f3ef1ac3e,0+unknown,1,604,32.0624390837628,0.021022783436038656,32.0624390837628,0.27599215581938014,25.15296782409898,0.0076920834144881449,0.81728497576024406,2.0728843504518744,604.0,3.6232913831595934,30.776251332286535,0.0,0.0,1252.022147672932,32.0,26.0,6.0915641784667969,0.056598605719878965,0.68966273409061007,3.5245689195444965,284070.64489286806,2.5251099726988815,21.578851699829102,284070.64489286806,35.641117095947266,21.686761797000671,26.621223449707031,10.272660255432129,0.70574643441533247,4.3634363944364756,25.368456840515137,19.039577168292791,15.365143775939941,2.7027913749880494,21.243259167829098,1.1952126588916703,0.92637057264579503,0.92637057264579503,1.2514009508303092,0.49684980633917802,0.73115791375412464,0.97054822905831817,0.56063816204344297,0.14725885470840988,0.60054101729674725,0.14725885470840988,0.14725885470840988,0.12516226271651459,0.9509137150971968,0.92637057264579503,0.53144676957222869,2.3904253177833406,1.1041420961218995,0.15709978762002122,0.85346019978591203,0.53612548963628459,-0.24306285598424568,0.14725885470840988,1.5120085493208064,0.92637057264579503,0.481140295771675,0.14946118209107537,0.238785459388212,0.70407949141313431,0.5224290812235759,19.10401554146328,61.910193587151753,46.397108768041683,0.85869323686864196,14.731127421440531,0.29130759304658865,58.603036502719476,0.19619205298013248,43.345626834372226,4.1178760007677102,2.1836820343474628,0.12153153006410643,0.109375,1.2257459845394767,0.78125,0.15625,1.25,6.25,31001.5,25301.25,0.013245033112582781,30076.375,34702.0,3.625,0.30643688980424572,0.34375,2.7499999999999973,0.076609616120437943,interobs05_20170910_CT,GTV-1vis(AB)
